"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","357751040","447789357.821878","474062773.808225","462193581.191088","479368786.632423","557854584.68917","665720600.884556","884142112.150196","1147694288.01234","1511732725.63406","1943703724.84209","2302670548.11901","2924909839.69892","3076880999.96319","2435101657.5018","3259762075.98752","3807748403.31919","4032591598.93567","4414406842.36423","4531263614.29491","4023630097.21074","4411121016.57497","5427811277.10679","5837077340.97758","6733519492.95301","4278309133.74566","5491755362.32082","10687015531.4621",
"American Samoa","ASM","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","31600000","42200000","51000000","106900000","107100000","107600000","104300000","172400000","181000000","207329629.62963","228400000","266959259.259259","292140740.740741","347788888.888889","372522222.222222","411070370.37037","442277777.777778","440714814.814815","406814814.814814","408314814.814815","446996296.296296","478785185.185185","484526552.962963","482383391.111112","464016296.296296","435953768.148148","471248371.111111","545510517.037037","563228077.777778","574877212.962963","607078164.074074","641475825.555555","574729269.629629","534969908.148148","547981720.740741","552059917.037037","539821382.962963","1041903110.35297","1037401064.51264","1061470956.11948","1004613762.21122","1060265101.41677","1226327716.82303","605301239.816661","764122505.230588","",
"Australia","AUS","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50246690313.0228","54113174389.6371","57337587295.6856","58333974591.4988","59500174922.7124","67017433121.7764","76255068274.216","87243283648.9829","92607825445.926","80279189958.5742","83249984025.889","94027773391.6451","90769749908.4107","94387840252.4989","106294577827.593","131584831384.86","157277206579.261","184047067669.921","220969655606.796","277393422499.062","226171085028.888","300299664182.673","372114218126.876","359590135497.972","356407493640.768","346478907204.549","282519159318.642","290429662828.162","339561519837.251","375378320608.769","389827368095.967","342775731006.836","441135941545.873","527486189661.643",
"Austria","AUT","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184883135968.07","210309326488.545","258109664283.619","283468623748.232","222987879721","237639344893.217","278747846714.317","261172432578.64","256742162239.201","266421672218.135","219961504370.676","238140109683.944","252880519875.826","281890142912.39","280077577707.247","254871352392.198","305147602975.541","316295884020.415",
"Azerbaijan","AZE","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","794633000","807981000","1172833000","1047722000","1293062000","2174015000","2410233000","2692274000","3090917000","4188596000","8341331000","13994393000","22682991000","32484232000","23310691000","28910312000","38057559000","37837472000","36941498000","34230672000","21288283000","18499727000","21125504000","27115308000","25219210259.9695","17064300000","27303525000","48816073000",
"Burundi","BDI","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","128361121.296162","142943375.183504","113172273.979846","139164500.160262","117447478.991597","97661144.5380071","128272098.674518","108420119.441582","99686959.3870994","103675852.174343","139727535.709639","57361490.3549722","97018643.8232728","72089243.0753426","61317954.9739381","55410264.4748892","46240676.6597352","39380857.1768799","46101217.4170069","65547370.3333636","98744965.492522","97780313.2038605","98301026.1959161","163850385.394169","119721016.247633","181856512.772041","243125987.915057","235581819.65495","235021576.981838","218166817.05523","193494604.466696","208531185.282481","284078967.302137","301844770.65225","","","","",
"Belgium","BEL","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","232206286887.588","258777199401.295","310418546928.427","344185294983.38","381854874875.407","461777328485.833","521519326271.803","427834324587.132","461272420870.994","508807327362.889","487326710222.566","507130612195.91","519173202867.745","426807937353.839","446858659498.073","482831761498.757","527666742674.955","514577142565.308","476801390398.11","585045400079.509","620725149103.248",
"Benin","BEN","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","119071226.500372","147727924.682054","119878387.72991","165027888.819832","168163148.790627","182313370.764308","241301151.452781","465422750.340528","194022479.719528","187411086.920863","289493237.897806","342115893.712485","383187230.243446","460509692.71125","309286053.02778","293959436.637027","376084255.218314","543594627.467718","535263274.488452","577854249.982172","558884142.061409","637738362.943246","685560226.569882","565414968.870741","587673628.500003","626211679.882369","553226115.035094","543488467.622178","623725458.119492","737572164.827663","808500570.587054","797601763.747549","977228098.454077","1387748030.19401","1681901189.04517","1494586071.40621","1709055792.60535","1767811033.35646","1968654630.83476","2651294851.74861","3202965311.72377","2833169921.56212","3300303693.1941","3433172991.47038","3954426852.11111","3708936175.14568","3718479448.05497","4456768035.10907","",
"Burkina Faso","BFA","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","583429342.787719","728815704.774048","805008057.573838","1073481963.05527","1145021327.69374","1982702862.38276","2917027286.61084","3393035928.69845","3281421146.58681","3370957552.00296","2914314797.69312","3448462093.6011","3925344520.00739","4750004847.64712","4682310006.61436","5603943479.57159","6567048157.42325","",
"Bangladesh","BGD","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","483588161.486697","567120159.745643","684784580.746181","852604342.478572","1081034789.04313","1043424141.64224","1015542802.0184","975782628.678204","1207351321.42226","1278986213.32446","1126729575.3453","1372242422.50266","1623516532.30955","1727889680.8181","2128166694.48457","2189663684.16161","2681277318.50376","3174232178.35729","3674705067.31616","4701572921.84713","4743506599.82131","5613818705.67122","5956824418.79564","6330290046.40151","7292611567.70184","6913563236.58279","6941782608.39971","7984802607.16541","9219984982.16512","10668033942.2203","13064944732.013","14334394905.4761","17687393265.7427","17082688770.8273","21764077876.4401","27147928001.3128","27768035486.5529","31767533486.4156","33138217973.1849","35107953649.4788","37756801960.699","39281430149.367","44518232859.6161","45143332661.7345","38693585662.5986","49625878882.3326","60548922373.8381",
"Bulgaria","BGR","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","9443000000","9518000000","9261000000","10049000000","11117000000","11520000000","9958000000","11570000000","10551000000","9618000000","7070000000","4192500000","5151800000","4990400000","5276600000","6926100000","6437200000","5030100000","6287575957.00867","6060126535.11979","7320635450.11212","7953381427.12852","8466750262.24032","11322108577.5907","15480668737.8113","17673875415.8795","21972412182.011","27487439318.7671","31897081760.143","24384475267.2182","26143690000","34901600000","33592910000","37139440000","38152790000","33553820000","35772010000","41450590000","44863810000","45505170000","41493260000","54200320000","63305740000",
"Bahrain","BHR","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","1404804049.06398","1786151390.91417","2180968032.80922","2362865211.37048","2924918281.24677","4080103560.63259","5055851077.2762","4752420225.40538","3901861712.50496","4353457451.63282","4130851063.82978","3241755319.14893","3575265957.44681","3576063829.78724","4018351063.82978","9615957446.80851","7442021276.59574","6533510638.29787","6659042745.0522","7548139000.49166","8884529412.0722","9183446133.25328","9291199477.59858","8758981988.90734","10340170861.8776","13504024037.2187","10400747220.8226","8634902592.28317","9247241353.03839","12881029141.0996","18412687109.4652","23295926212.3131","27687960947.7997","28319383826.1134","17384881832.8324","19347876092.4707","29767819148.9362","33454032807.2441","36174962300.4805","34205194235.3993","27888067760.4066","26046276595.7447","28844946808.5106","32515691489.3617","","","","",
"Bahamas, The","BHS","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","672000000","725600000","814400000","928700000","1136100000","1136600000","1134800000","1239300000","1303800000","1512800000","1583500000","1608500000","1601300000","1931400000","2015700000","1781300000","1709500000","1763400000","1770300000","1842800000","1936100000","1993600000","2043800000","2600200000","2754920000","2405800000","2591599201.85","2560320000","2801280000","3157026153.259","3259010000","3522484138.25","3603116609.6","3119235000","3234768000","3382563000","3725090600","3674164000","3613851248.32","3460395303.195","3926984118.96","3810619827.1375","4793336461.7215","5197101268.3375","1685892615.73672","3233947916.59046","",
"Bosnia and Herzegovina","BIH","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1986977108.34503","2088869123.39924","2246587544.0923","2256436938.09415","2239345969.16485","2852423433.69081","3624808468.54304","4226573145.69265","5253755990.13231","5379477185.28076","6412421680.07941","5328379102.19463","5691102088.28783","6646029863.21964","6139805758.44437","6719878400.85267","6955732838.63753","6286388254.69792","6675416146.03252","7992867250.77298","9211900401.85714","8884500232.07442","7480474516.06998","10668432306.0931","12296517652.0135",
"Belarus","BLR","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2155100000","2761900000","5271000000","6772200000","7868700000","7124200000","6420500000","7073500000","7860200000","8649600000","11007800000","15134500000","17704700000","21815900000","27148400000","36877500000","24817700000","29804900000","47242200000","52802700000","44904700000","44203300000","33405500000","30599500000","37438900000","43451100000","43144600000","38061000000","50375221076.81","47953471789.38",
"Belize","BLZ","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","129900000","131150000","144600000","164700000","201850000","219950000","255150000","257100000","289900000","288400000","280490000","300176500","315445000","338690000","333810000","404286920.865","430609975.64625","433958032.78435","483393435.656394","521232221.576875","532400145.562826","621781575.872826","786064530.283885","823317708.673485","872493092.4388","732767580.282032","834170906.42726","948530342.390358","1039521955.13461","1062177961.83546","1091434215.44131","1040919494.94431","975774627.331241","1037843639.36688","1080804896.50472","1112434207.6715","722213182.639031","1049258630.41594","1355386577.07287",
"Bermuda","BMU","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3538220000","4062408522.20724","3796859890.46665","3128974785.02173","3150596255.82453","3149722594.87365","3120840151.71226","3728541596.59196","3225101912.07337","3195210148.91199","3254026689.03139","3476883151.47462","3540611310.44885","3657511972.04247","3067388857.57818","3275281180.63025","",
"Bolivia","BOL","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","636200000","700700000","706000000","873400000","1045700000","1021600000","918400000","899000000","848000000","737400000","684200000","666400000","689000000","890700000","995500000","941900000","790700000","906100000","1199800000","1262100000","1341530000","1512040000","1482600000","1467900000","1609734096.03","1641878269.97172","1658552119.06189","2032285035.63242","2637965186.20425","3400621025.11789","4584798041.71298","5324570734.85986","7369497131.15274","5662610000","6918664527.02533","9259640783.46915","12399420637.2437","12923354978.0695","14100527390.7742","10038518414.6954","8412909193.50527","9769881367.7388","10580229224.4761","10414108244.345","7558521699.94929","11498407136.9513","14552295919.0621",
"Brazil","BRA","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","9939000000","11283000000","13510000000","14489000000","17998000000","23275000000","26923000000","23469000000","24341000000","30205000000","29309000000","25131000000","28730000000","36823000000","38817000000","36327000000","35842000000","40999000000","44903000000","51212000000","56098000000","57856000000","64416994548.6587","63185386909.0574","58796958328.0546","67609150984.3758","70377209916.3559","72758192630.0269","86217244619.7716","111258894323.517","136785580667.174","162396094941.604","194453306495.544","239286455536.946","188104584733.303","248954383744.59","314721136876.345","289485192619.46","292208082966.39","271261164001.545","225859784466.825","230134935822.81","274488337111.57","286787251897.965","283961511689.795","258318903531.485","346595744088.06","419795791710.2",
"Barbados","BRB","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","71569892.1805278","76442934.9617785","79770459.9601147","97558984.9512205","110064608.245589","126547785.906199","149669174.243983","170279279.044015","204354920.572985","209444530.85","258634658.95","333859749.15","419027875","538207750","531346750","583770500","639648125","756957875","739493000","787843054.89667","721411150.219925","820063385.055135","917088379.41496","893619186.189685","867435839.56076","852223747.49443","923635680.513855","1034382896.674","1099889882.29544","1313887836.57213","1251298515.30441","1284967000.65979","1343764386.2022","1487323634.49906","1390191278.59737","1397242868.6273","1550328753.86274","1577192009.19742","1897910464.21897","2177829123.10991","2366019798.01184","2523351952.61916","2167429725.58849","2292523306.79183","2587012922.19879","2296743639.0833","2640905236.59611","2415767927.26034","2638571003.60209","2667550594.27414","2301068745.29169","","","","","",
"Brunei Darussalam","BRN","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4370084980.10786","4370316126.70814","5074003660.51107","5849355900.53256","7120262753.00205","8619419397.80665","8773233349.9634","11868545475.124","8403066964.23237","10198638550.2017","13837820971.338","14338783603.4076","13324521260.2528","12679477493.9848","7869854054.56226","6418974173.20282","7086499766.39691","8039962735.7531","8855694135.62026","7805639830.43299","12160188565.9035","14960350430.3542",
"Bhutan","BTN","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","381915532.056848","663135422.111435","688334873.782716","595343456.579325","606876814.677449","762221392.115894","746446088.736621","685401498.133039","678569468.512538","748140243.546082","666802935.819124","746384595.057072","821097545.936979","814917182.791113","816188649.762587","763669460.189667","815408838.762781",
